,pop_total,median_income,state,ZCTA5CE10
0,10144,29845,12,32409
1,17213,37494,12,32459
2,5690,30675,12,32460
3,216,25714,12,32463
4,5526,26107,12,32531
5,34330,27895,12,32547
6,9925,51131,12,32561
7,5014,29419,12,32565
8,31341,29322,12,32570
9,23442,40501,12,32606
10,13635,32163,12,32615
11,4541,23382,12,32617
12,194,26477,12,32639
13,14030,36856,12,32653
14,10139,22404,12,32680
15,11882,20972,12,32693
16,30398,28623,12,32127
17,8306,30806,12,32136
18,705,19554,12,32193
19,2926,26359,12,32195
20,7329,28323,12,32040
21,1711,25779,12,32044
22,7646,20229,12,32112
23,1439,27370,12,32140
24,790,32450,12,32147
25,5383,16061,12,32508
26,6094,21179,12,32535
27,3128,23701,12,32542
28,29365,25273,12,32583
29,19363,15796,12,32601
30,8782,20925,12,32626
31,11666,27734,12,32643
32,15150,24597,12,32656
33,391,30650,12,32664
34,6664,22496,12,32666
35,253,24191,12,32697
36,49923,26094,12,32725
37,22471,37565,12,32751
38,23277,26819,12,32763
39,16855,40847,12,32766
40,2882,30736,12,32798
41,20111,24377,12,33181
42,21785,20776,12,33184
43,27294,41956,12,33308
44,27261,25565,12,33314
45,38427,31181,12,33317
46,39097,28381,12,33322
47,29369,33517,12,33325
48,23172,16787,12,33430
49,20486,32390,12,33434
50,54261,31653,12,33467
51,22530,47446,12,33496
52,29574,30784,12,33510
53,21612,25319,12,33541
54,20380,41707,12,33572
55,24384,25843,12,33607
56,18367,42961,12,33609
57,47441,26232,12,33617
58,71004,41551,12,33647
59,32019,30129,12,33702
60,28857,27296,12,33705
61,24767,28886,12,33707
62,19706,22449,12,33711
63,35378,38169,12,33073
64,40265,33059,12,33134
65,15848,18678,12,33136
66,30713,25533,12,33145
67,33514,49552,12,33156
68,6469,70551,12,33158
69,22293,31657,12,33811
70,8969,26096,12,33841
71,39615,31879,12,33160
72,36725,28070,12,33183
73,3124,48951,12,33306
74,76073,19546,12,33311
75,33155,39902,12,33326
76,15793,44357,12,33330
77,35769,29516,12,33351
78,27585,28931,12,33406
79,41441,31143,12,33428
80,20487,41754,12,33432
81,367,20441,12,33438
82,32573,22456,12,33460
83,1171,30625,12,33849
84,12081,25678,12,33868
85,22284,19052,12,33870
86,22657,25851,12,33903
87,30049,26588,12,33917
88,17122,25123,12,33948
89,22516,31632,12,33991
90,19794,31495,12,33761
91,14744,26592,12,33765
92,7452,46667,12,33767
93,13573,31822,12,33776
94,24856,25472,12,33781
95,11649,22306,12,33853
96,25497,35529,12,33913
97,23182,45947,12,33556
98,17864,27038,12,33565
99,12195,26702,12,33567
100,26798,31246,12,33584
101,39604,22548,12,33604
102,27352,39676,12,33618
103,17555,28717,12,33637
104,15728,30096,12,33701
105,16982,48402,12,33704
106,5132,32367,12,33070
107,52986,20013,12,33126
108,13750,49814,12,33129
109,29737,21636,12,33130
110,18477,64850,12,33131
111,22955,39301,12,33137
112,46617,28664,12,33155
113,55822,21675,12,33165
114,16083,35763,12,33708
115,17336,26608,12,33760
116,19730,28422,12,33763
117,35303,19396,12,33030
118,16159,30780,12,33035
119,61293,26283,12,33064
120,39402,38250,12,33071
121,13849,46613,12,33132
122,39427,33553,12,33139
123,39768,27267,12,33141
124,29652,20970,12,33150
125,14634,45185,12,33154
126,24346,25831,12,33166
127,20582,20660,12,33167
128,52288,30890,12,33176
129,57526,25215,12,33177
130,52206,31951,12,33178
131,32441,41284,12,33180
132,30330,31724,12,33919
133,6741,29392,12,33953
134,331,30549,12,33001
135,41924,21866,12,33014
136,67191,23843,12,33015
137,51700,21507,12,33016
138,31891,36397,12,33026
139,40883,21339,12,33055
140,36110,21752,12,33056
141,18242,38806,12,33716
142,16748,32743,12,33777
143,14582,27512,12,33778
144,33615,25211,12,33823
145,21099,22657,12,33852
146,21364,22402,12,33901
147,31086,28296,12,33904
148,24907,21789,12,33916
149,23299,31889,12,33950
150,672,22850,12,33960
151,219,,12,33944
152,2104,42813,12,33946
153,27941,25195,12,33971
154,11407,27170,12,33981
155,34657,29050,12,33990
156,27905,26354,12,33993
157,33089,30182,12,33173
158,34403,21592,12,33174
159,19392,30617,12,33187
160,49999,26202,12,33193
